id_curso;nome_curso;municipio;unidade;modalidade_educacao;modalidade_curso;turno;grau_curso;ensino;tipo_regime_letivo;situacao_curso;eixo_conhecimento;data_inicio_funcionamento;codigo_e_mec;portaria_reconhecimento
2301791;GESTÃO AMBIENTAL;São João Del Rei;SJR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Outra;;1514760;Portaria SERES/MEC nº 185
527779;GESTÃO AMBIENTAL;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Biológicas;;1103699;Portaria SERES/MEC nº 110, seção 1, pág. 95
527776;ADMINISTRAÇÃO;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Sociais Aplicadas;;1116908;Portaria SERES/MEC n.º 209
528384;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;1333078;Processo de Reconhecimento 201815663, Art. 11, § 1º, do Decreto nº 9.235, de 15/12/2017, e art. 26, § 1º, Portaria MEC nº 1095
527783;EDUCAÇÃO FÍSICA;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências da Saúde;;1126886;PORTARIA SERES/MEC Nº 152
527818;NUTRIÇÃO;Barbacena;BBC-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências da Saúde;;1161238;Portaria SERES/MEC nº 110
464219;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Bom Sucesso;BSC-SETOR DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1415487;Curso reconhecido na forma do art. 11. § 1º, do Decreto nº 9.235, de 15 de dezembro de 2017, e do art. 26, § 1º, da Portaria MEC nº 1.095
518227;FÍSICA;Juiz de Fora;JFA-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;LICENCIATURA;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1103649;Portaria SERES/MEC n.º 152
10306851;SISTEMAS DE INFORMAÇÃO;Manhuaçu;MNU-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1487335;RESOLUÇÃO CONSU Nº 25/2019, de 11 DE JULHO DE 2019
7334610;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;Muriaé;MUR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Ciências Exatas e da Terra;;1550524;
553057;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;São João Del Rei;SJR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Outra;;1161236;Portaria SERES/MEC nº 918
551645;GESTÃO DE RECURSOS HUMANOS;São João Del Rei;SJR-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Noturno;TECNOLÓGICO;Hora/Aula;Semestral;Em Atividade;Outra;;1333077;Portaria SERES/MEC nº 216
23693307;AGRONOMIA;Rio Pomba;RPB-DIRETORIA DE ENSINO;Presencial;GRADUACAO;Integral;BACHARELADO;Hora/Aula;Semestral;Em Atividade;Ciências Agrárias;;1658460;
