matricula;curso;modalidade_entrada;ano_ingresso;data_colacao_grau;situacao_matricula;sexo;prazo_conclusao;id_curso;data_registro_diploma
201*****;QUÍMICA;AMPLA CONCORRENCIA;2015;;CANCELADO;F;20232;527785;
201*****;AGRONOMIA;AMPLA CONCORRENCIA;2018;;CANCELADO;F;;527777;
202*****;LOGÍSTICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2021;;ATIVO;F;20252;547949;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2013;;CONCLUÍDO;F;20191;527818;
202*****;GESTÃO AMBIENTAL;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2021;29-04-2023;CONCLUÍDO;F;20242;2301791;
201*****;CIÊNCIAS BIOLÓGICAS;;2015;21-05-2021;CONCLUÍDO;F;20202;527781;20-07-2021
101*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2010;;CONCLUÍDO;F;;553291;
201*****;MATEMÁTICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2018;19-08-2022;CONCLUÍDO;F;20252;459794;29-12-2022
114*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;20182;528378;
120*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;F;;553290;
202*****;GESTÃO DE RECURSOS HUMANOS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2020;28-04-2023;CONCLUÍDO;M;20241;551645;
127*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2013;;CONCLUÍDO;F;20202;528322;
202*****;ENGENHARIA MECATRÔNICA;AMPLA CONCORRENCIA;2020;;CANCELADO;F;20292;518226;
202*****;MATEMÁTICA;AMPLA CONCORRENCIA;2022;;CANCELADO;M;20291;524921;
151*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2015;;CANCELADO;M;;518227;
140*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2014;;CANCELADO;M;;518227;
160*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2016;22-10-2020;CONCLUÍDO;M;20232;553290;04-02-2021
201*****;MATEMÁTICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;;CANCELADO;M;20262;459794;
201*****;AGROECOLOGIA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;;CANCELADO;M;20282;528371;
202*****;DESIGN DE INTERIORES;AMPLA CONCORRENCIA;2023;;ATIVO;M;20282;2304089;
150*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2015;15-03-2019;CONCLUÍDO;M;20222;553290;
